text,label,split,cleaned_text
Incap Contract Manufacturing Services Private Limited telah menandatangani perjanjian dengan enam pelanggan baru di India.,2,Train,incap contract manufacturing services private limited menandatangani perjanjian enam pelanggan india
"Total durasi proyek adalah tiga tahun dan bernilai sekitar EUR11 ,5 m.",1,Train,total durasi proyek bernilai sekitar token_uang token_angka
"China Unicom , NYSE : CHU , HKSE : 0762 , dan SHSE : 600050 , operator seluler terbesar kedua di negara ini .",1,Train,china unicom bursa efek new york chu bursa efek hong kong token_angka bursa efek shanghai token_angka operator seluler terbesar negara
"Harap beri tahu IR Johanna Koskinen tentang partisipasi Anda paling lambat 20 April pukul 10 pagi Konferensi telepon untuk analis keuangan dan investor, yang diadakan dalam bahasa Inggris, akan dimulai pukul 15:00 waktu Finlandia (EET).",1,Train,harap hubungan investor johanna koskinen partisipasi lambat token_angka april token_angka pagi konferensi telepon analis keuangan investor diadakan bahasa inggris token_angka token_angka finlandia eet
"Patrick Jeambar juga akan terus bertanggung jawab atas Inovasi dan Kesehatan, keselamatan dan fungsi HSEA lingkungan dari Ahlstrom Corporation.",1,Train,patrick jeambar bertanggung atas inovasi kesehatan keselamatan fungsi hsea lingkungan dari ahlstrom corporation
"Aldata Solution, perusahaan global yang bergerak di bidang pengoptimalan proses bisnis pemasok hingga konsumen, telah mengumumkan rincian program Dollars for Dinosaurs.",1,Train,aldata solution perusahaan global bergerak bidang pengoptimalan proses bisnis pemasok hingga konsumen mengumumkan rincian program dollars dinosaurs
"CapMan , dengan kantor di Helsinki , Stockholm , Kopenhagen dan Oslo , mengelola pembelian Nordic , mezzanine , teknologi , life science dan dana real estate dengan total modal sekitar EUR2 ,6 miliar .",1,Train,capman kantor helsinki stockholm kopenhagen oslo mengelola pembelian nordic mezzanine teknologi life science dana real estate total modal sekitar token_uang token_angka miliar
Total investasi proyek akan menjadi sekitar EUR 36 juta.,1,Train,total investasi proyek menjadi sekitar token_uang
- Lawan kekuatan pesaing Anda dan targetkan kelemahan mereka.,1,Train,lawan kekuatan pesaing targetkan kelemahan
Pabrik ini diharapkan mulai berproduksi pada paruh pertama tahun 2007 .,1,Train,pabrik diharapkan berproduksi paruh token_tahun
Uponor meningkatkan kinerjanya meskipun terjadi penurunan konstruksi perumahan di AS.,2,Train,uponor meningkatkan kinerjanya meskipun penurunan konstruksi perumahan
"Menurut Kamar Dagang Finlandia-Rusia, semua perusahaan konstruksi besar Finlandia beroperasi di Rusia.",1,Train,kamar dagang finlandia rusia perusahaan konstruksi finlandia beroperasi rusia
Diharapkan akan online pada tahun 2011 .,1,Train,diharapkan online token_tahun
"keuntungan operasional yang sebanding mencapai EUR 854 juta , naik dari EUR 730 juta di tahun 2004 .",2,Train,keuntungan operasional sebanding mencapai token_uang naik dari token_uang token_tahun
"Pemasok solusi industri logam Finlandia Outotec Oyj laba bersih naik menjadi 50,4 juta euro ($ 72,5 juta) untuk sembilan bulan pertama tahun 2007 dari 20,1 juta euro ($ 28,9 juta) untuk periode yang sama tahun 2006.",2,Train,pemasok solusi industri logam finlandia outotec perusahaan publik laba bersih naik menjadi token_angka juta euro token_angka juta sembilan token_tahun dari token_angka juta euro token_angka juta periode token_tahun
"Laba operasi mencapai EUR 17,7 juta dibandingkan dengan EUR 17,6 juta pada periode yang sama tahun 2007 .",2,Train,laba operasi mencapai token_uang dibandingkan token_uang periode token_tahun
"Pendapatan kargo Viking Line meningkat sebesar 5,4% menjadi EUR 21,46 juta, dan volume kargo meningkat sebesar 2,4% menjadi 70.116 unit kargo.",2,Train,pendapatan kargo viking line meningkat sebesar token_angka menjadi token_uang volume kargo meningkat sebesar token_angka menjadi token_angka unit kargo
"Selain itu, perusahaan sedang mempertimbangkan untuk memulai produksi di Rusia.",1,Train,perusahaan mempertimbangkan produksi rusia
